,STATION,DAY,Entered,Exited,IMPRESSIONS
226,18 ST,12,7562.0,4883.0,12445.0
227,18 ST,13,9537.0,5692.0,15229.0
228,18 ST,14,9882.0,6042.0,15924.0
229,18 ST,15,9559.0,5747.0,15306.0
230,18 ST,16,9308.0,5873.0,15181.0
231,181 ST,10,13678.0,11748.0,25426.0
232,181 ST,11,13169.0,13302.0,26471.0
233,181 ST,12,21048.0,18656.0,39704.0
234,181 ST,13,23937.0,21435.0,45372.0
235,181 ST,14,24047.0,21698.0,45745.0
236,181 ST,15,24407.0,21489.0,45896.0
237,181 ST,16,23885.0,21425.0,45310.0
238,182-183 STS,10,3195.0,1112.0,4307.0
239,182-183 STS,11,3100.0,1250.0,4350.0
240,182-183 STS,12,4663.0,1441.0,6104.0
241,182-183 STS,13,5258.0,1590.0,6848.0
242,182-183 STS,14,5292.0,1627.0,6919.0
243,182-183 STS,15,5276.0,1662.0,6938.0
244,182-183 STS,16,5442.0,1713.0,7155.0
245,183 ST,10,3963.0,1871.0,5834.0
246,183 ST,11,3771.0,2070.0,5841.0
247,183 ST,12,5918.0,3073.0,8991.0
248,183 ST,13,6730.0,3660.0,10390.0
249,183 ST,14,6364.0,3658.0,10022.0
250,183 ST,15,6878.0,3552.0,10430.0
251,183 ST,16,6877.0,3725.0,10602.0
252,190 ST,10,2743.0,1339.0,4082.0
253,190 ST,11,2537.0,1578.0,4115.0
254,190 ST,12,4873.0,1853.0,6726.0
255,190 ST,13,5137.0,1999.0,7136.0
256,190 ST,14,5045.0,1887.0,6932.0
257,190 ST,15,5240.0,2037.0,7277.0
258,190 ST,16,5021.0,2016.0,7037.0
259,191 ST,10,4984.0,4617.0,9601.0
260,191 ST,11,5128.0,5948.0,11076.0
261,191 ST,12,7282.0,7934.0,15216.0
262,191 ST,13,9319.0,9914.0,19233.0
263,191 ST,14,9433.0,10141.0,19574.0
264,191 ST,15,9295.0,10094.0,19389.0
265,191 ST,16,9168.0,9729.0,18897.0
266,2 AV,10,10661.0,12197.0,22858.0
267,2 AV,11,12693.0,13905.0,26598.0
268,2 AV,12,14505.0,13090.0,27595.0
269,2 AV,13,16758.0,15146.0,31904.0
270,2 AV,14,17601.0,16264.0,33865.0
271,2 AV,15,17814.0,15972.0,33786.0
272,2 AV,16,18630.0,18294.0,36924.0
273,20 AV,10,3266.0,1077.0,4343.0
274,20 AV,11,2917.0,1208.0,4125.0
275,20 AV,12,5963.0,1940.0,7903.0
276,20 AV,13,6802.0,1992.0,8794.0
277,20 AV,14,6839.0,1977.0,8816.0
278,20 AV,15,6724.0,1926.0,8650.0
279,20 AV,16,6766.0,1975.0,8741.0
280,207 ST,10,4451.0,2051.0,6502.0
281,207 ST,11,4359.0,2225.0,6584.0
282,207 ST,12,6019.0,2914.0,8933.0
283,207 ST,13,7343.0,3243.0,10586.0
284,207 ST,14,7338.0,3226.0,10564.0
285,207 ST,15,7273.0,3201.0,10474.0
286,207 ST,16,7178.0,3244.0,10422.0
287,21 ST,10,1042.0,1188.0,2230.0
288,21 ST,11,1086.0,1260.0,2346.0
289,21 ST,12,1593.0,1799.0,3392.0
290,21 ST,13,1799.0,1900.0,3699.0
291,21 ST,14,1823.0,1983.0,3806.0
292,21 ST,15,1908.0,2399.0,4307.0
293,21 ST,16,3186.0,3037.0,6223.0
294,21 ST-QNSBRIDGE,10,5399.0,5059.0,10458.0
295,21 ST-QNSBRIDGE,11,5086.0,5239.0,10325.0
296,21 ST-QNSBRIDGE,12,9223.0,7054.0,16277.0
297,21 ST-QNSBRIDGE,13,10274.0,7288.0,17562.0
298,21 ST-QNSBRIDGE,14,10627.0,7618.0,18245.0
299,21 ST-QNSBRIDGE,15,10619.0,7494.0,18113.0
300,21 ST-QNSBRIDGE,16,10616.0,7688.0,18304.0
301,215 ST,10,1146.0,507.0,1653.0
302,215 ST,11,1006.0,579.0,1585.0
303,215 ST,12,1751.0,1168.0,2919.0
304,215 ST,13,2156.0,891.0,3047.0
305,215 ST,14,2299.0,941.0,3240.0
306,215 ST,15,2275.0,912.0,3187.0
307,215 ST,16,2187.0,858.0,3045.0
308,219 ST,10,1040.0,669.0,1709.0
309,219 ST,11,776.0,569.0,1345.0
310,219 ST,12,3136.0,1258.0,4394.0
